start_times,end_times,start_indexes,end_indexes,prob,best_channel,subject,date,probe
4102.4264,4102.464,662568,662615,0.9819952,344,462910,20240813,probe01
4105.588,4105.625599999999,666520,666567,0.98758924,344,462910,20240813,probe01
4106.2088,4106.2336,667296,667327,0.9961815,344,462910,20240813,probe01
4107.5271999999995,4107.5648,668944,668991,0.99601394,344,462910,20240813,probe01
4111.5592,4111.584,673984,674015,0.9956485,344,462910,20240813,probe01
4113.8376,4113.900799999999,676832,676911,0.9952785,344,462910,20240813,probe01
4114.2088,4114.227199999999,677296,677319,0.9954163,344,462910,20240813,probe01
4119.7064,4119.7248,684168,684191,0.9993163,344,462910,20240813,probe01
4119.8728,4119.8976,684376,684407,0.98667985,344,462910,20240813,probe01
4125.632799999999,4125.6512,691576,691599,0.992219,344,462910,20240813,probe01
4127.5976,4127.616,694032,694055,0.9984988,344,462910,20240813,probe01
4130.5416,4130.5728,697712,697751,0.99291456,344,462910,20240813,probe01
4130.7784,4130.7968,698008,698031,0.9918256,344,462910,20240813,probe01
4131.3607999999995,4131.3856,698736,698767,0.98824,344,462910,20240813,probe01
4134.6952,4134.7136,702904,702927,0.9925221,344,462910,20240813,probe01
4138.452,4138.4704,707600,707623,0.9877409,344,462910,20240813,probe01
4138.9767999999995,4139.0016,708256,708287,0.9955792,344,462910,20240813,probe01
4142.8679999999995,4142.886399999999,713120,713143,0.99385595,344,462910,20240813,probe01
4144.66,4144.6912,715360,715399,0.996872,344,462910,20240813,probe01
4145.1784,4145.2032,716008,716039,0.99644595,344,462910,20240813,probe01
4152.3976,4152.4223999999995,725032,725063,0.98973155,344,462910,20240813,probe01
4156.116,4156.16,729680,729735,0.9915087,344,462910,20240813,probe01
4160.0136,4160.0448,734552,734591,0.99619806,344,462910,20240813,probe01
4160.2312,4160.255999999999,734824,734855,0.99636847,344,462910,20240813,probe01
4160.4104,4160.4352,735048,735079,0.998069,344,462910,20240813,probe01
4175.6168,4175.648,754056,754095,0.99723536,344,462910,20240813,probe01
4196.5192,4196.5376,780184,780207,0.9870547,344,462910,20240813,probe01
4201.8823999999995,4201.92,786888,786935,0.9900299,344,462910,20240813,probe01
4209.4151999999995,4209.44,796304,796335,0.99455315,344,462910,20240813,probe01
4262.6824,4262.7072,862888,862919,0.99696374,344,462910,20240813,probe01
4271.5976,4271.616,874032,874055,0.9860362,344,462910,20240813,probe01
4273.4983999999995,4273.5232,876408,876439,0.9928282,344,462910,20240813,probe01
4275.5976,4275.616,879032,879055,0.9943965,344,462910,20240813,probe01
4277.8248,4277.843199999999,881816,881839,0.99396944,344,462910,20240813,probe01
4278.388,4278.4192,882520,882559,0.9941379,344,462910,20240813,probe01
4280.0455999999995,4280.0768,884592,884631,0.9937351,344,462910,20240813,probe01
4280.6088,4280.639999999999,885296,885335,0.986881,344,462910,20240813,probe01
4285.5624,4285.5936,891488,891527,0.9875863,344,462910,20240813,probe01
4287.6744,4287.7056,894128,894167,0.99478334,344,462910,20240813,probe01
4287.86,4287.8848,894360,894391,0.9925913,344,462910,20240813,probe01
4291.0856,4291.1232,898392,898439,0.98996395,344,462910,20240813,probe01
4291.284,4291.3088,898640,898671,0.9972791,344,462910,20240813,probe01
4295.8664,4295.8912,904368,904399,0.9991554,344,462910,20240813,probe01
4296.2568,4296.2752,904856,904879,0.99764454,344,462910,20240813,probe01
4303.1944,4303.2192,913528,913559,0.997981,344,462910,20240813,probe01
4307.0664,4307.0912,918368,918399,0.9915583,344,462910,20240813,probe01
4307.4568,4307.4752,918856,918879,0.9900651,344,462910,20240813,probe01
4310.58,4310.611199999999,922760,922799,0.99243,344,462910,20240813,probe01
4318.3112,4318.3616,932424,932487,0.9912775,344,462910,20240813,probe01
4321.3063999999995,4321.3248,936168,936191,0.99536717,344,462910,20240813,probe01
4323.2712,4323.3279999999995,938624,938695,0.9947291,344,462910,20240813,probe01
4331.1624,4331.1808,948488,948511,0.98682666,344,462910,20240813,probe01
4331.8152,4331.84,949304,949335,0.9948068,344,462910,20240813,probe01
4334.8423999999995,4334.8607999999995,953088,953111,0.9992134,344,462910,20240813,probe01
4335.8472,4335.8656,954344,954367,0.98765206,344,462910,20240813,probe01
4341.3128,4341.3312,961176,961199,0.99656165,344,462910,20240813,probe01
4348.8456,4348.8704,970592,970623,0.9933472,344,462910,20240813,probe01
4349.4024,4349.4592,971288,971359,0.9863601,344,462910,20240813,probe01
4349.9272,4349.9583999999995,971944,971983,0.99407196,344,462910,20240813,probe01
4355.668,4355.6928,979120,979151,0.99189746,344,462910,20240813,probe01
4363.277599999999,4363.3152,988632,988679,0.9985628,344,462910,20240813,probe01
4363.4888,4363.5136,988896,988927,0.9891,344,462910,20240813,probe01
4364.480799999999,4364.5184,990136,990183,0.9904035,344,462910,20240813,probe01
4365.3063999999995,4365.3248,991168,991191,0.9934945,344,462910,20240813,probe01
4368.8264,4368.8448,995568,995591,0.99637955,344,462910,20240813,probe01
4378.6696,4378.688,1007872,1007895,0.99655247,344,462910,20240813,probe01
4379.2456,4379.264,1008592,1008615,0.99016786,344,462910,20240813,probe01
4384.0199999999995,4384.0383999999995,1014560,1014583,0.995168,344,462910,20240813,probe01
4398.6376,4398.6687999999995,1032832,1032871,0.9959569,344,462910,20240813,probe01
4402.8488,4402.8736,1038096,1038127,0.9905076,344,462910,20240813,probe01
4415.5144,4415.5392,1053928,1053959,0.9917867,344,462910,20240813,probe01
4419.1624,4419.1872,1058488,1058519,0.9974856,344,462910,20240813,probe01
4419.6296,4419.654399999999,1059072,1059103,0.99260455,344,462910,20240813,probe01
4422.964,4422.9824,1063240,1063263,0.9895265,344,462910,20240813,probe01
4428.4104,4428.448,1070048,1070095,0.99719477,344,462910,20240813,probe01
4430.0488,4430.0671999999995,1072096,1072119,0.99741364,344,462910,20240813,probe01
4431.5976,4431.6224,1074032,1074063,0.995646,344,462910,20240813,probe01
4433.3704,4433.3888,1076248,1076271,0.996668,344,462910,20240813,probe01
4565.0568,4565.1456,1240856,1240967,0.9927829,344,462910,20240813,probe01
4569.8823999999995,4569.9136,1246888,1246927,0.99383277,344,462910,20240813,probe01
4574.099999999999,4574.1248,1252160,1252191,0.98441607,344,462910,20240813,probe01
4575.9176,4575.936,1254432,1254455,0.99921227,344,462910,20240813,probe01
4579.1304,4579.161599999999,1258448,1258487,0.99792355,344,462910,20240813,probe01
4583.1496,4583.1808,1263472,1263511,0.9879663,344,462910,20240813,probe01
4584.3016,4584.3328,1264912,1264951,0.9961413,344,462910,20240813,probe01
4586.1128,4586.144,1267176,1267215,0.99853677,344,462910,20240813,probe01
4587.495199999999,4587.5136,1268904,1268927,0.9998337,344,462910,20240813,probe01
4593.2872,4593.344,1276144,1276215,0.9931513,344,462910,20240813,probe01
4594.0104,4594.0416,1277048,1277087,0.98966426,344,462910,20240813,probe01
4598.9896,4599.0144,1283272,1283303,0.9932642,344,462910,20240813,probe01
4599.6872,4599.7119999999995,1284144,1284175,0.99290323,344,462910,20240813,probe01
4602.1064,4602.1248,1287168,1287191,0.99740225,344,462910,20240813,probe01
4603.4568,4603.487999999999,1288856,1288895,0.99293303,344,462910,20240813,probe01
4603.9688,4603.9872,1289496,1289519,0.9989626,344,462910,20240813,probe01
4607.0152,4607.0336,1293304,1293327,0.9929251,344,462910,20240813,probe01
4607.252,4607.270399999999,1293600,1293623,0.98372495,344,462910,20240813,probe01
4619.3672,4619.392,1308744,1308775,0.99273163,344,462910,20240813,probe01
4622.8872,4622.912,1313144,1313175,0.99883765,344,462910,20240813,probe01
4627.3416,4627.3664,1318712,1318743,0.98901844,344,462910,20240813,probe01
4629.428,4629.4464,1321320,1321343,0.99401957,344,462910,20240813,probe01
4630.6632,4630.7008,1322864,1322911,0.99697477,344,462910,20240813,probe01
4637.7288,4637.7472,1331696,1331719,0.9897746,344,462910,20240813,probe01
4637.8632,4637.8816,1331864,1331887,0.98953116,344,462910,20240813,probe01
4642.1896,4642.208,1337272,1337295,0.99158967,344,462910,20240813,probe01
4647.8856,4647.9168,1344392,1344431,0.9893699,344,462910,20240813,probe01
4718.7016,4718.719999999999,1432912,1432935,0.99122477,344,462910,20240813,probe01
