region_1,region_2,region_pair,causality_score,object,subject,date
AUD,TEa,AUD <> TEa,0.18890366162708286,1,466395,20241114
TEa,AUD,AUD <> TEa,0.0692255951760751,1,466395,20241114
AUD,TEa,AUD <> TEa,0.18972547832057354,2,466395,20241114
TEa,AUD,AUD <> TEa,0.07033945679254588,2,466395,20241114
AUD,VIS,AUD <> VIS,0.1946450101342528,1,466395,20241114
VIS,AUD,AUD <> VIS,0.01732720966027726,1,466395,20241114
AUD,VIS,AUD <> VIS,0.19043250494226144,2,466395,20241114
VIS,AUD,AUD <> VIS,0.020045093981123214,2,466395,20241114
AUD,CA1,AUD <> CA1,0.18548967314655587,1,466395,20241114
CA1,AUD,AUD <> CA1,0.09106827719375865,1,466395,20241114
AUD,CA1,AUD <> CA1,0.18984054600879005,2,466395,20241114
CA1,AUD,AUD <> CA1,0.0931459088238971,2,466395,20241114
LEC,PERI,LEC <> PERI,0.00285797251740849,1,466395,20241114
PERI,LEC,LEC <> PERI,0.24157810320391931,1,466395,20241114
LEC,PERI,LEC <> PERI,0.003218428674330609,2,466395,20241114
PERI,LEC,LEC <> PERI,0.23951513082385417,2,466395,20241114
LEC,TEa,LEC <> TEa,0.0022383837329463694,1,466395,20241114
TEa,LEC,LEC <> TEa,0.055342727787135663,1,466395,20241114
LEC,TEa,LEC <> TEa,0.0028726872864942173,2,466395,20241114
TEa,LEC,LEC <> TEa,0.059116566175850094,2,466395,20241114
LEC,VIS,LEC <> VIS,0.0032159348346075785,1,466395,20241114
VIS,LEC,LEC <> VIS,0.01253403159188907,1,466395,20241114
LEC,VIS,LEC <> VIS,0.002974349811453254,2,466395,20241114
VIS,LEC,LEC <> VIS,0.018089278845817253,2,466395,20241114
LEC,CA1,LEC <> CA1,0.0031870743352875046,1,466395,20241114
CA1,LEC,LEC <> CA1,0.07073442325642001,1,466395,20241114
LEC,CA1,LEC <> CA1,0.002762125772372944,2,466395,20241114
CA1,LEC,LEC <> CA1,0.07130147193696941,2,466395,20241114
PERI,TEa,PERI <> TEa,0.25889321958820455,1,466395,20241114
TEa,PERI,PERI <> TEa,0.07532046346069861,1,466395,20241114
PERI,TEa,PERI <> TEa,0.2652180791599065,2,466395,20241114
TEa,PERI,PERI <> TEa,0.07580092956722947,2,466395,20241114
PERI,VIS,PERI <> VIS,0.24532879171145652,1,466395,20241114
VIS,PERI,PERI <> VIS,0.017683436906811692,1,466395,20241114
PERI,VIS,PERI <> VIS,0.2439730356976209,2,466395,20241114
VIS,PERI,PERI <> VIS,0.021674199645197026,2,466395,20241114
PERI,CA1,PERI <> CA1,0.2578042998617637,1,466395,20241114
CA1,PERI,PERI <> CA1,0.05723993088174106,1,466395,20241114
PERI,CA1,PERI <> CA1,0.2664912957045248,2,466395,20241114
CA1,PERI,PERI <> CA1,0.05731846249188374,2,466395,20241114
TEa,VIS,TEa <> VIS,0.06094872738608463,1,466395,20241114
VIS,TEa,TEa <> VIS,0.015460086253302365,1,466395,20241114
TEa,VIS,TEa <> VIS,0.0700367518099256,2,466395,20241114
VIS,TEa,TEa <> VIS,0.016819258377504493,2,466395,20241114
TEa,CA1,TEa <> CA1,0.0631622259388802,1,466395,20241114
CA1,TEa,TEa <> CA1,0.07989762599230323,1,466395,20241114
TEa,CA1,TEa <> CA1,0.06518283421450712,2,466395,20241114
CA1,TEa,TEa <> CA1,0.08233463635288713,2,466395,20241114
VIS,CA1,VIS <> CA1,0.01593979295925943,1,466395,20241114
CA1,VIS,VIS <> CA1,0.07879086558654558,1,466395,20241114
