switch,context,distance,position,subject,date,probe,lda_pos,region
1,1,6.94335096162457e+18,120,459601,20240409,probe00,600,Cortex
1,2,2.2019767040347387e+18,120,459601,20240409,probe00,600,Cortex
0,1,5.687276583699877e+18,130,459601,20240409,probe00,600,Cortex
0,2,4.257849063392524e+18,130,459601,20240409,probe00,600,Cortex
1,1,4.756167183572268e+18,130,459601,20240409,probe00,600,Cortex
1,2,1.4545892740076106e+18,130,459601,20240409,probe00,600,Cortex
0,1,3.2696762867720975e+18,140,459601,20240409,probe00,600,Cortex
0,2,2.5096785618447693e+18,140,459601,20240409,probe00,600,Cortex
1,1,2.6249195950753587e+18,140,459601,20240409,probe00,600,Cortex
1,2,-1.0507156914141024e+17,140,459601,20240409,probe00,600,Cortex
0,1,1.9829037142852375e+18,150,459601,20240409,probe00,600,Cortex
0,2,1.5089013208573847e+18,150,459601,20240409,probe00,600,Cortex
1,1,1.3511674550024338e+18,150,459601,20240409,probe00,600,Cortex
1,2,-1.0125168643864801e+18,150,459601,20240409,probe00,600,Cortex
0,1,1.284820344035821e+18,160,459601,20240409,probe00,600,Cortex
0,2,9.59872824317258e+17,160,459601,20240409,probe00,600,Cortex
1,1,1.0621615357314734e+18,160,459601,20240409,probe00,600,Cortex
1,2,-1.5415448262141373e+18,160,459601,20240409,probe00,600,Cortex
0,1,8.908779157792983e+17,170,459601,20240409,probe00,600,Cortex
0,2,6.488362812289578e+17,170,459601,20240409,probe00,600,Cortex
1,1,7.077604326048161e+17,170,459601,20240409,probe00,600,Cortex
1,2,5.175063694192151e+17,170,459601,20240409,probe00,600,Cortex
0,1,6.592936798618897e+17,180,459601,20240409,probe00,600,Cortex
0,2,4.651212820808954e+17,180,459601,20240409,probe00,600,Cortex
1,1,-3.645465196054211e+18,180,459601,20240409,probe00,600,Cortex
1,2,3.699825214895015e+17,180,459601,20240409,probe00,600,Cortex
0,1,5.2000177190436966e+17,190,459601,20240409,probe00,600,Cortex
0,2,3.589665064039602e+17,190,459601,20240409,probe00,600,Cortex
1,1,-3.8368317349330703e+18,190,459601,20240409,probe00,600,Cortex
1,2,2.867598030227919e+17,190,459601,20240409,probe00,600,Cortex
0,1,4.4522242645233626e+17,200,459601,20240409,probe00,600,Cortex
0,2,2.985048087162195e+17,200,459601,20240409,probe00,600,Cortex
1,1,-3.9435995626121375e+18,200,459601,20240409,probe00,600,Cortex
1,2,2.3996900459689824e+17,200,459601,20240409,probe00,600,Cortex
0,1,4.0651733235353197e+17,210,459601,20240409,probe00,600,Cortex
0,2,2.6892658235736675e+17,210,459601,20240409,probe00,600,Cortex
1,1,-4.0601923345809444e+18,210,459601,20240409,probe00,600,Cortex
1,2,2.1855015032400224e+17,210,459601,20240409,probe00,600,Cortex
0,1,3.947800397625682e+17,220,459601,20240409,probe00,600,Cortex
0,2,2.6390984215588253e+17,220,459601,20240409,probe00,600,Cortex
1,1,-4.129705913567412e+18,220,459601,20240409,probe00,600,Cortex
1,2,2.1740317779839533e+17,220,459601,20240409,probe00,600,Cortex
0,1,4.0365559729753606e+17,230,459601,20240409,probe00,600,Cortex
0,2,2.794894622041279e+17,230,459601,20240409,probe00,600,Cortex
1,1,-4.1641037715069926e+18,230,459601,20240409,probe00,600,Cortex
1,2,2.3342545432532362e+17,230,459601,20240409,probe00,600,Cortex
0,1,4.316166479248949e+17,240,459601,20240409,probe00,600,Cortex
0,2,3.143135301273653e+17,240,459601,20240409,probe00,600,Cortex
1,1,3.552975037681435e+17,240,459601,20240409,probe00,600,Cortex
1,2,2.714870690065522e+17,240,459601,20240409,probe00,600,Cortex
0,1,4.7919416433647686e+17,250,459601,20240409,probe00,600,Cortex
0,2,3.703598018146943e+17,250,459601,20240409,probe00,600,Cortex
1,1,4.137619622518391e+17,250,459601,20240409,probe00,600,Cortex
1,2,3.3082498589087085e+17,250,459601,20240409,probe00,600,Cortex
0,1,5.4255681176581446e+17,260,459601,20240409,probe00,600,Cortex
0,2,4.524369399500575e+17,260,459601,20240409,probe00,600,Cortex
1,1,5.005545230086967e+17,260,459601,20240409,probe00,600,Cortex
1,2,4.121229080680735e+17,260,459601,20240409,probe00,600,Cortex
0,1,6.396506771421925e+17,270,459601,20240409,probe00,600,Cortex
